metric_name,iteration,difficulty,duration_ns
TransactionValidation,339,2,97.29µs
TransactionValidation,340,2,93.238µs
TransactionValidation,341,2,92.819µs
TransactionValidation,342,2,112.165µs
TransactionValidation,343,2,100.782µs
TransactionValidation,344,2,97.359µs
TransactionValidation,345,2,98.267µs
TransactionValidation,346,2,95.823µs
TransactionValidation,347,2,112.375µs
TransactionValidation,348,2,93.867µs
TransactionValidation,349,2,97.359µs
TransactionValidation,350,2,93.447µs
TransactionValidation,351,2,105.95µs
TransactionValidation,352,2,119.01µs
TransactionValidation,353,2,93.937µs
TransactionValidation,354,2,93.937µs
TransactionValidation,355,2,128.857µs
TransactionValidation,356,2,125.575µs
TransactionValidation,357,2,137.867µs
TransactionValidation,358,2,130.045µs
TransactionValidation,359,2,282.3µs
TransactionValidation,360,2,98.756µs
TransactionValidation,361,2,94.006µs
TransactionValidation,362,2,92.959µs
TransactionValidation,363,2,110.419µs
TransactionValidation,364,2,106.438µs
TransactionValidation,365,2,94.426µs
TransactionValidation,366,2,93.029µs
TransactionValidation,367,2,93.239µs
TransactionValidation,368,2,97.498µs
TransactionValidation,369,2,95.264µs
TransactionValidation,370,2,97.359µs
TransactionValidation,371,2,97.569µs
TransactionValidation,372,2,93.029µs
TransactionValidation,373,2,93.518µs
TransactionValidation,374,2,94.216µs
TransactionValidation,375,2,93.309µs
TransactionValidation,376,2,92.959µs
TransactionValidation,377,2,93.937µs
TransactionValidation,378,2,94.146µs
TransactionValidation,379,2,114.121µs
TransactionValidation,380,2,93.517µs
TransactionValidation,381,2,92.959µs
TransactionValidation,382,2,96.731µs
TransactionValidation,383,2,95.404µs
TransactionValidation,384,2,113.073µs
TransactionValidation,385,2,100.641µs
TransactionValidation,386,2,94.286µs
TransactionValidation,387,2,96.381µs
TransactionValidation,388,2,94.915µs
TransactionValidation,389,2,93.308µs
TransactionValidation,390,2,94.006µs
TransactionValidation,391,2,92.54µs
TransactionValidation,392,2,92.61µs
TransactionValidation,393,2,96.8µs
TransactionValidation,394,2,92.47µs
TransactionValidation,395,2,111.746µs
TransactionValidation,396,2,93.379µs
TransactionValidation,397,2,93.029µs
TransactionValidation,398,2,93.029µs
TransactionValidation,399,2,99.524µs
TransactionValidation,400,2,114.121µs
TransactionValidation,401,2,97.778µs
TransactionValidation,402,2,98.058µs
TransactionValidation,403,2,96.94µs
TransactionValidation,404,2,100.082µs
TransactionValidation,405,2,94.426µs
TransactionValidation,406,2,94.216µs
TransactionValidation,407,2,94.495µs
TransactionValidation,408,2,93.518µs
TransactionValidation,409,2,95.613µs
TransactionValidation,410,2,99.664µs
TransactionValidation,411,2,109.372µs
TransactionValidation,412,2,96.591µs
TransactionValidation,413,2,96.871µs
TransactionValidation,414,2,92.959µs
TransactionValidation,415,2,94.914µs
TransactionValidation,416,2,200.166µs
TransactionValidation,417,2,93.937µs
TransactionValidation,418,2,92.051µs
TransactionValidation,419,2,91.981µs
TransactionValidation,420,2,92.959µs
TransactionValidation,421,2,112.724µs
TransactionValidation,422,2,138.565µs
TransactionValidation,423,2,168.388µs
TransactionValidation,424,2,149.46µs
TransactionValidation,425,2,144.432µs
TransactionValidation,426,2,111.257µs
TransactionValidation,427,2,97.709µs
TransactionValidation,428,2,95.403µs
TransactionValidation,429,2,92.401µs
TransactionValidation,430,2,95.264µs
TransactionValidation,431,2,92.54µs
TransactionValidation,432,2,185.429µs
TransactionValidation,433,2,94.007µs
TransactionValidation,434,2,95.124µs
TransactionValidation,435,2,99.733µs
TransactionValidation,436,2,97.289µs
TransactionValidation,437,2,94.216µs
TransactionValidation,438,2,92.75µs
TransactionValidation,439,2,95.893µs
TransactionValidation,440,2,112.585µs
TransactionValidation,441,2,98.546µs
TransactionValidation,442,2,96.381µs
TransactionValidation,443,2,97.778µs
TransactionValidation,444,2,93.238µs
TransactionValidation,445,2,113.493µs
TransactionValidation,446,2,92.959µs
TransactionValidation,447,2,92.54µs
TransactionValidation,448,2,94.984µs
